Start,Peak,Stop,Trough,Max_Envelope_Amp,Duration_ms,Event Times,Event Cluster IDs
101.8768,101.8992,101.9036,101.9008,3.1617448329925537,0.0268,"[101.8794, 101.8796, 101.8819, 101.88303333333332, 101.88626666666669, 101.8901, 101.89373333333332, 101.89543333333332, 101.8956, 101.89763333333332, 101.89876666666666, 101.8992, 101.90083333333334]","[177, 235, 95, 190, 235, 95, 231, 157, 61, 114, 95, 61, 58]"
103.1748,103.2236,103.2308,103.226,5.411768436431885,0.056,"[103.1756, 103.1763, 103.17633333333332, 103.1765, 103.17676666666668, 103.1776, 103.17803333333332, 103.17853333333332, 103.17893333333332, 103.17903333333334, 103.17966666666666, 103.18093333333331, 103.1812, 103.1813, 103.18163333333334, 103.18236666666668, 103.18273333333332, 103.18296666666669, 103.18323333333332, 103.18336666666669, 103.18373333333334, 103.1841, 103.18473333333333, 103.18476666666666, 103.18613333333332, 103.18626666666668, 103.1894, 103.19113333333334, 103.19126666666666, 103.19143333333334, 103.1917, 103.19173333333332, 103.19193333333334, 103.19323333333334, 103.19363333333334, 103.19416666666666, 103.19513333333332, 103.19693333333332, 103.19713333333333, 103.198, 103.19826666666668, 103.19853333333332, 103.1995, 103.2, 103.20013333333333, 103.20066666666666, 103.2018, 103.2024, 103.20256666666668, 103.20303333333334, 103.2039, 103.2047, 103.2065, 103.20696666666667, 103.20783333333334, 103.2087, 103.21216666666666, 103.2128, 103.21386666666666, 103.21496666666668, 103.21516666666666, 103.21633333333334, 103.2169, 103.2178, 103.21786666666668, 103.2182, 103.21936666666667, 103.2195, 103.2197, 103.2206, 103.221, 103.223, 103.22366666666667, 103.22493333333334, 103.2257, 103.22613333333334, 103.22623333333334, 103.227, 103.23063333333332]","[136, 155, 190, 97, 0, 157, 61, 58, 224, 41, 177, 190, 33, 12, 219, 95, 155, 0, 157, 193, 35, 84, 177, 197, 245, 190, 190, 187, 190, 95, 157, 35, 12, 190, 35, 187, 190, 0, 235, 61, 219, 245, 190, 95, 61, 157, 33, 219, 245, 0, 95, 49, 190, 219, 58, 187, 197, 245, 190, 187, 35, 95, 33, 187, 219, 190, 95, 61, 155, 74, 33, 219, 95, 177, 97, 0, 95, 35, 219]"
115.9932,116.0128,116.0216,116.0116,9.281731605529783,0.0284,"[115.99383333333331, 115.9939, 115.99403333333332, 115.99566666666666, 115.99633333333334, 115.99646666666666, 115.9965, 115.99663333333334, 115.99673333333334, 115.99686666666666, 116.00006666666668, 116.00043333333332, 116.00056666666669, 116.00096666666668, 116.00096666666668, 116.00143333333334, 116.00286666666666, 116.0036, 116.005, 116.00553333333332, 116.00576666666667, 116.00626666666666, 116.0065, 116.00653333333334, 116.0082, 116.01043333333334, 116.01096666666666, 116.01106666666666, 116.0115, 116.0126, 116.01313333333331, 116.01443333333332, 116.01593333333334, 116.0167, 116.0199]","[190, 157, 0, 35, 190, 95, 235, 97, 0, 61, 232, 0, 190, 197, 155, 35, 0, 35, 95, 173, 61, 189, 197, 190, 95, 49, 95, 190, 157, 187, 210, 12, 190, 61, 190]"
133.778,133.7892,133.8004,133.7892,4.220850944519043,0.0224,"[133.7787, 133.78136666666666, 133.78166666666667, 133.78263333333334, 133.7839, 133.784, 133.78473333333332, 133.78523333333334, 133.7865, 133.78776666666667, 133.79046666666667, 133.7927, 133.7927666666667, 133.79283333333333, 133.79423333333332, 133.79456666666667]","[61, 190, 12, 157, 190, 35, 222, 157, 187, 243, 0, 190, 97, 0, 157, 210]"
366.5576,366.6088,366.6184,366.6112,8.912477493286133,0.0608,"[366.5593, 366.5597, 366.563, 366.56323333333336, 366.5636333333333, 366.56393333333335, 366.56413333333336, 366.56446666666665, 366.5661, 366.56696666666664, 366.5674666666667, 366.5689, 366.5699333333333, 366.57, 366.5724, 366.5744, 366.5751333333333, 366.5756333333333, 366.57576666666665, 366.5760666666667, 366.5763333333333, 366.5774333333333, 366.5779, 366.57803333333334, 366.57806666666664, 366.5782, 366.5790333333333, 366.58133333333336, 366.58276666666666, 366.5831666666666, 366.5832, 366.5834, 366.58416666666665, 366.5844666666667, 366.5858333333333, 366.58663333333334, 366.5871666666667, 366.5880666666667, 366.5889666666667, 366.5898, 366.5908666666666, 366.5911, 366.59203333333335, 366.5923666666667, 366.59273333333334, 366.5937666666667, 366.5946, 366.59543333333335, 366.5973666666667, 366.598, 366.5980333333333, 366.5980333333333, 366.59906666666666, 366.59996666666666, 366.6012, 366.6021, 366.6036, 366.60566666666665, 366.60903333333334, 366.6100333333333, 366.61356666666666, 366.61603333333335, 366.61606666666665, 366.6161666666667]","[95, 0, 190, 187, 61, 197, 157, 33, 95, 97, 190, 157, 197, 0, 190, 157, 190, 37, 61, 33, 95, 49, 190, 177, 84, 197, 157, 35, 190, 157, 61, 197, 33, 58, 95, 0, 157, 190, 0, 210, 187, 193, 61, 155, 58, 157, 190, 49, 37, 114, 232, 190, 187, 193, 187, 190, 187, 157, 12, 190, 177, 235, 0, 95]"
366.864,366.892,366.9028,366.8908,7.9562482833862305,0.0388,"[366.864, 366.8645, 366.8645333333333, 366.8652666666667, 366.86563333333334, 366.86566666666664, 366.8658, 366.86676666666665, 366.8670333333333, 366.8679333333333, 366.86813333333333, 366.86873333333335, 366.86943333333335, 366.87, 366.87016666666665, 366.871, 366.87243333333333, 366.8725333333333, 366.8743, 366.8750666666666, 366.8753, 366.87556666666666, 366.87576666666666, 366.8764, 366.8766, 366.8768333333333, 366.8770333333333, 366.8772, 366.8777, 366.8777333333333, 366.8777333333333, 366.87786666666665, 366.8787, 366.8799, 366.8809, 366.8816, 366.8817, 366.88186666666667, 366.8821, 366.8829333333333, 366.88393333333335, 366.8841, 366.8861333333333, 366.8862, 366.8876666666667, 366.8879, 366.8881666666667, 366.88826666666665, 366.88846666666666, 366.8913666666666, 366.8923, 366.8931333333333, 366.8978, 366.8982, 366.8990333333333, 366.9017333333333]","[61, 97, 35, 157, 95, 33, 0, 35, 37, 95, 0, 190, 157, 140, 33, 190, 12, 35, 35, 41, 157, 0, 190, 232, 35, 247, 37, 97, 95, 0, 190, 155, 35, 0, 35, 190, 157, 0, 157, 35, 95, 0, 190, 95, 193, 95, 58, 157, 0, 49, 95, 190, 61, 187, 95, 157]"
371.1468,371.1832,371.1916,371.1856,4.864424228668213,0.0448,"[371.15066666666667, 371.1519, 371.1526, 371.15326666666664, 371.1562666666667, 371.16043333333334, 371.1606, 371.1628, 371.1631, 371.16333333333336, 371.16473333333334, 371.1684666666667, 371.1696333333333, 371.1696333333333, 371.1704, 371.17283333333336, 371.17463333333336, 371.17466666666667, 371.17746666666665, 371.17923333333334, 371.1793333333333, 371.1795, 371.1795, 371.1797333333334, 371.1806, 371.1811333333333, 371.18173333333334, 371.1823, 371.18326666666667, 371.1844, 371.1845333333333, 371.1850666666666, 371.18513333333334, 371.18553333333335, 371.1875, 371.18786666666665, 371.18826666666666, 371.18876666666665, 371.18896666666666, 371.189, 371.1898, 371.18983333333335, 371.1902333333333, 371.19033333333334]","[187, 190, 35, 187, 190, 219, 0, 177, 97, 190, 193, 245, 190, 33, 190, 245, 157, 190, 245, 95, 61, 190, 35, 157, 33, 197, 0, 35, 95, 190, 35, 140, 219, 97, 61, 95, 0, 235, 245, 190, 193, 95, 157, 0]"
371.8012,371.812,371.842,371.8348,4.677108287811279,0.0408,"[371.80286666666666, 371.8029333333333, 371.80316666666664, 371.8038333333334, 371.80423333333334, 371.8045666666667, 371.8048666666666, 371.805, 371.8058, 371.8084666666667, 371.8092, 371.8097666666667, 371.8100333333333, 371.81073333333336, 371.8111666666667, 371.8113333333333, 371.8118666666667, 371.8131, 371.8145, 371.81506666666667, 371.8152, 371.8152333333333, 371.8155, 371.81603333333334, 371.8163666666667, 371.8169, 371.81696666666664, 371.8181666666667, 371.81823333333335, 371.8208666666667, 371.82103333333333, 371.8244333333334, 371.8244333333334, 371.8244666666667, 371.82483333333334, 371.8251333333333, 371.8256333333333, 371.82623333333333, 371.8263666666667, 371.82663333333335, 371.8288666666666, 371.8290666666667, 371.82953333333336, 371.8297, 371.8301666666667, 371.83023333333335, 371.8303333333334, 371.8310333333333, 371.8315333333333, 371.8317, 371.8317666666667, 371.8321333333334, 371.8324666666667, 371.83476666666667, 371.83503333333334, 371.83526666666666, 371.8358666666667, 371.8361, 371.8364, 371.8387, 371.8389, 371.83916666666664, 371.83936666666665, 371.8394333333333, 371.83976666666666, 371.84006666666664, 371.84066666666666, 371.8419]","[35, 187, 190, 97, 157, 95, 235, 61, 41, 139, 33, 3, 157, 0, 190, 97, 197, 12, 110, 187, 194, 190, 190, 190, 157, 61, 58, 193, 117, 190, 37, 194, 190, 192, 97, 33, 190, 187, 35, 41, 37, 139, 157, 140, 33, 0, 61, 95, 187, 41, 190, 61, 117, 139, 0, 197, 58, 157, 210, 12, 187, 189, 194, 190, 97, 33, 61, 157]"
379.02,379.0264,379.0836,379.0248,3.964714765548706,0.0636,"[379.0206333333333, 379.0212333333333, 379.02143333333333, 379.0228, 379.02296666666666, 379.0230333333334, 379.0245, 379.02506666666665, 379.0283, 379.0286, 379.0311, 379.0312, 379.03136666666666, 379.03253333333333, 379.03366666666665, 379.0339, 379.0348666666667, 379.0351666666666, 379.03593333333333, 379.0361, 379.03616666666665, 379.0379, 379.0387666666667, 379.0397, 379.0398666666667, 379.0403, 379.0405333333333, 379.0415, 379.0421333333333, 379.0423666666667, 379.04243333333335, 379.0461333333334, 379.04633333333334, 379.0477666666667, 379.0480333333333, 379.0481, 379.0481, 379.04813333333334, 379.04856666666666, 379.0494, 379.0503, 379.0518333333333, 379.0523333333333, 379.0527333333333, 379.05283333333335, 379.0538333333334, 379.0548, 379.0555, 379.05713333333335, 379.0577, 379.05893333333336, 379.05893333333336, 379.0591333333333, 379.06, 379.06076666666667, 379.0619, 379.0628, 379.06486666666666, 379.066, 379.06936666666667, 379.0708, 379.07273333333336, 379.0729333333333, 379.07506666666666, 379.0756, 379.07753333333335, 379.07823333333334, 379.0787666666667, 379.0788333333333, 379.07913333333335, 379.0796, 379.0813]","[12, 61, 33, 235, 97, 190, 97, 0, 35, 190, 61, 173, 41, 197, 114, 190, 0, 58, 114, 35, 187, 12, 187, 190, 0, 222, 61, 114, 97, 0, 12, 61, 190, 177, 97, 114, 41, 0, 157, 12, 0, 187, 97, 190, 41, 187, 190, 12, 97, 177, 114, 197, 95, 157, 190, 95, 189, 95, 190, 197, 0, 190, 157, 187, 177, 243, 95, 187, 190, 157, 173, 187]"
385.7228,385.7432,385.75,385.7448,5.214262962341309,0.0272,"[385.7230666666667, 385.7234, 385.72476666666665, 385.72516666666667, 385.72566666666665, 385.7268, 385.7272, 385.72726666666665, 385.7275666666667, 385.7280666666667, 385.7282666666667, 385.7289666666667, 385.72923333333335, 385.7300333333333, 385.7300666666667, 385.7300666666667, 385.7300666666667, 385.73173333333335, 385.732, 385.7336, 385.7341, 385.73426666666666, 385.73446666666666, 385.7345, 385.7346666666666, 385.7347, 385.73473333333334, 385.73513333333335, 385.7355, 385.7357, 385.73763333333335, 385.7377333333333, 385.7389333333333, 385.73903333333334, 385.73906666666664, 385.73906666666664, 385.7391, 385.73966666666666, 385.74, 385.7402666666667, 385.74153333333334, 385.743, 385.7438666666667, 385.7447333333334, 385.74493333333334, 385.74516666666665, 385.74536666666665, 385.7457, 385.7457333333333, 385.7457333333333, 385.7458, 385.74743333333333, 385.74783333333335, 385.7493333333333, 385.7495]","[23, 157, 187, 190, 95, 187, 114, 23, 49, 157, 109, 193, 187, 223, 110, 99, 95, 114, 95, 190, 95, 193, 109, 157, 223, 99, 224, 187, 190, 177, 12, 187, 190, 223, 99, 61, 110, 177, 204, 23, 0, 190, 0, 157, 222, 95, 114, 155, 0, 190, 231, 97, 0, 144, 157]"
