Start,Peak,Stop,Trough,Max_Envelope_Amp,Duration_ms
679.7928,679.806,679.8132,679.8068,4.676120281219482,0.0204
683.5776,683.6364,683.7088,683.636,7.864021301269531,0.1312
683.7956,683.8296,683.8468,683.8312,5.018333435058594,0.0512
684.2456,684.2808,684.2864,684.28,3.6061956882476807,0.0408
696.2736,696.2996,696.3064,696.3028,3.8153648376464844,0.0328
698.8344,698.8636,698.8928,698.86,5.829895973205566,0.0584
703.4332,703.4392,703.4696,703.4412,3.5123727321624756,0.0364
709.4716,709.4836,709.5136,709.4864,7.756789684295654,0.042
711.0272,711.0664,711.0736,711.0656,5.867580890655518,0.0464
712.2452,712.2532,712.3092,712.2716,5.658116817474365,0.064
712.8392,712.8684,712.9128,712.868,4.281497001647949,0.0736
713.4576,713.468,713.4812,713.4672,3.494013547897339,0.0236
717.8628,717.8768,717.886,717.8808,5.21088171005249,0.0232
718.6636,718.6744,718.6888,718.6712,4.142507076263428,0.0252
729.558,729.5796,729.5848,729.5804,3.4552648067474365,0.0268
731.4672,731.4752,731.4956,731.474,5.840121269226074,0.0284
732.5772,732.5848,732.6124,732.5856,4.390389919281006,0.0352
742.7876,742.7936,742.8184,742.7948,4.106119155883789,0.0308
743.7984,743.8152,743.8416,743.8148,4.254641532897949,0.0432
746.514,746.5264,746.5488,746.5264,6.691080570220947,0.0348
747.378,747.3864,747.4184,747.3872,4.676261901855469,0.0404
750.3284,750.336,750.3808,750.3588,6.329648017883301,0.0524
752.7588,752.784,752.794,752.7804,4.302478790283203,0.0352
755.2788,755.3036,755.3104,755.3056,3.1026289463043213,0.0316
770.1216,770.136,770.17,770.134,5.923415660858154,0.0484
772.9588,772.9688,773.0068,772.9676,6.1799468994140625,0.048
775.2524,775.2748,775.2828,775.2728,5.373106002807617,0.0304
775.5776,775.5924,775.6168,775.5928,3.9701597690582275,0.0392
785.9888,786.0144,786.0248,786.0116,5.255605697631836,0.036
791.6596,791.666,791.6852,791.682,3.058645248413086,0.0256
794.4512,794.4716,794.4796,794.4712,4.373946189880371,0.0284
794.6644,794.6704,794.7036,794.67,4.300471305847168,0.0392
800.5972,800.6428,800.648,800.6412,3.741572856903076,0.0508
802.4968,802.5056,802.5184,802.5044,5.168439865112305,0.0216
803.996,804.0052,804.0308,804.0028,6.412274360656738,0.0348
804.5712,804.5896,804.6016,804.5768,4.951508045196533,0.0304
808.0564,808.0648,808.0792,808.0652,5.87808895111084,0.0228
813.4256,813.436,813.4512,813.4328,5.651057243347168,0.0256
820.9064,820.9164,820.928,820.918,10.429376602172852,0.0216
823.7024,823.732,823.738,823.7304,4.467708110809326,0.0356
831.352,831.3768,831.3932,831.3784,4.591838836669922,0.0412
832.6032,832.618,832.628,832.62,6.142699718475342,0.0248
835.516,835.5228,835.5496,835.5204,4.342483043670654,0.0336
838.5512,838.568,838.5736,838.5656,3.2284581661224365,0.0224
839.2868,839.3152,839.3208,839.3176,3.5901103019714355,0.034
840.9276,840.9332,840.9644,840.934,3.0003504753112793,0.0368
842.1364,842.1492,842.1588,842.154,6.208383083343506,0.0224
844.9128,844.9244,844.9384,844.9244,3.274778366088867,0.0256
848.006,848.0188,848.0276,848.018,5.303423881530762,0.0216
849.5772,849.5872,849.5996,849.5852,3.8620381355285645,0.0224
856.602,856.6108,856.65,856.608,6.1640238761901855,0.048
858.4688,858.5156,858.5216,858.5144,3.744436502456665,0.0528
864.154,864.1608,864.1868,864.1592,4.392033100128174,0.0328
870.5804,870.5864,870.6048,870.584,3.087477445602417,0.0244
872.7324,872.7772,872.7856,872.7772,4.685037612915039,0.0532
873.6252,873.6396,873.654,873.6348,9.388760566711426,0.0288
881.7476,881.7768,881.7884,881.7796,8.163485527038574,0.0408
883.2148,883.2432,883.2524,883.2404,5.966722011566162,0.0376
885.1736,885.2104,885.2276,885.2136,11.487303733825684,0.054
885.6952,885.7112,885.7356,885.7124,9.418197631835938,0.0404
891.3608,891.3688,891.382,891.37,3.9868545532226562,0.0212
896.3016,896.3096,896.3472,896.3076,6.069108963012695,0.0456
899.8568,899.8748,899.8856,899.8736,3.6748147010803223,0.0288
903.9984,904.0272,904.0328,904.0288,3.439531087875366,0.0344
907.8348,907.85,907.886,907.8488,4.412178039550781,0.0512
915.0384,915.0696,915.0928,915.0696,3.8321995735168457,0.0544
917.6428,917.652,917.6756,917.6528,4.501446723937988,0.0328
919.9924,920.038,920.0444,920.0364,4.295328140258789,0.052
930.4372,930.454,930.4604,930.4532,3.534144878387451,0.0232
945.2816,945.2892,945.3068,945.2876,4.381819725036621,0.0252
950.9788,950.9908,951.0008,950.9916,4.760977745056152,0.022
953.606,953.6204,953.6412,953.6212,4.071380615234375,0.0352
967.4808,967.5136,967.52,967.516,4.754749298095703,0.0392
968.306,968.3136,968.3456,968.3144,4.225363254547119,0.0396
976.6044,976.6148,976.6252,976.6144,5.237617015838623,0.0208
985.582,985.6232,985.6384,985.6248,5.912165641784668,0.0564
986.7468,986.7596,986.7692,986.7512,3.7665812969207764,0.0224
986.8476,986.8528,986.8868,986.8816,3.163729667663574,0.0392
995.2944,995.3344,995.344,995.3168,8.450860977172852,0.0496
1004.6332,1004.6436,1004.6708,1004.6412,5.970158576965332,0.0376
1006.5812,1006.5944,1006.6248,1006.594,4.844954490661621,0.0436
1009.9916,1010.0004,1010.044,1010.0016,4.861016750335693,0.0524
1010.6564,1010.6928,1010.6992,1010.6908,3.9215729236602783,0.0428
1011.4428,1011.456,1011.466,1011.4572,6.779301643371582,0.0232
1015.4272,1015.4396,1015.4692,1015.4416,6.845555305480957,0.042
1018.2784,1018.2896,1018.2996,1018.2884,5.897623538970947,0.0212
1020.6728,1020.6936,1020.7208,1020.6908,10.073602676391602,0.048
1022.6568,1022.6648,1022.6784,1022.6644,5.205954551696777,0.0216
1027.3132,1027.334,1027.3656,1027.3192,3.4870002269744873,0.0524
1029.936,1029.9532,1029.9608,1029.9524,4.838198184967041,0.0248
1032.9264,1032.954,1032.9636,1032.9532,4.60264778137207,0.0372
1034.0248,1034.0368,1034.0588,1034.0364,8.185792922973633,0.034
1035.6328,1035.646,1035.6532,1035.6448,4.647668361663818,0.0204
1037.99,1038.0044,1038.0176,1038.008,4.346548080444336,0.0276
1038.0896,1038.0964,1038.1216,1038.094,3.5675337314605713,0.032
1044.1632,1044.192,1044.1988,1044.1932,3.463599443435669,0.0356
1047.2408,1047.2588,1047.266,1047.2612,4.112857818603516,0.0252
1057.7652,1057.7736,1057.8096,1057.768,3.6310155391693115,0.0444
1059.618,1059.6504,1059.696,1059.6504,6.075613975524902,0.078
1067.1712,1067.2072,1067.2284,1067.208,5.695944309234619,0.0572
1079.5616,1079.5744,1079.59,1079.5756,7.050836563110352,0.0284
1083.3344,1083.344,1083.372,1083.3448,6.124277591705322,0.0376
1090.8252,1090.8536,1090.8604,1090.8536,4.0461506843566895,0.0352
1091.8876,1091.9112,1091.9248,1091.9096,5.410588264465332,0.0372
1093.5124,1093.5184,1093.5328,1093.5288,3.001389265060425,0.0204
1096.3836,1096.4272,1096.4536,1096.4268,5.775658130645752,0.07
1097.5528,1097.564,1097.5948,1097.5616,9.415007591247559,0.042
1100.5916,1100.6232,1100.6304,1100.6248,5.121365070343018,0.0388
1101.4996,1101.5092,1101.5364,1101.5076,9.305427551269531,0.0368
1109.6044,1109.6216,1109.6296,1109.6204,4.562254905700684,0.0252
1118.3428,1118.3576,1118.3652,1118.358,4.607368469238281,0.0224
1142.6184,1142.7308,1142.7436,1142.7332,10.286128997802734,0.1252
1142.8256,1142.838,1142.9028,1142.8372,8.154571533203125,0.0772
