Observation id,Observation date,Description,Observation type,Source,Total duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,EventType,Behavioral category,Modifier #1,Behavior type,Start (s),Stop (s),Duration (s),Media file name,StartFrame,EndFrame,Image file path start,Image file path stop,Comment start,Comment stop,ActualStartFrame,ActualEndFrame,indexStart,indexEnd
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,sleeping,Not defined,,STATE,617.633,688.683,71.05,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,37058,41321,,,,,37059,41322,1544086,1721706
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,sleeping,Not defined,,STATE,695.983,732.8,36.817,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,41759,43968,,,,,41760,43969,1739956,1831995
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,sleeping,Not defined,,STATE,736.583,739.15,2.567,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,44195,44349,,,,,44196,44350,1841453,1847870
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,sleeping,Not defined,,STATE,742.417,795.95,53.533,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,44545,47757,,,,,44546,47758,1856036,1989866
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,sleeping,Not defined,,STATE,797.467,867.933,70.466,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,47848,52076,,,,,47849,52077,1993657,2169819
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,sleeping,Not defined,,STATE,870.3,939.35,69.05,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,52218,56361,,,,,52219,56362,2175736,2348356
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,sleeping,Not defined,,STATE,941.783,998,56.217,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,56507,59880,,,,,56508,59881,2354439,2494977
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,sleeping,Not defined,,STATE,999.65,1124.867,125.217,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,59979,67492,,,,,59980,67493,2499102,2812135
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,sleeping,Not defined,,STATE,1141.917,1145.317,3.4,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,68515,68719,,,,,68516,68720,2854759,2863259
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,sleeping,Not defined,,STATE,1151.05,1154.967,3.917,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,69063,69298,,,,,69064,69299,2877591,2887383
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,epoch,Not defined,rest end,POINT,1188.2,1188.2,,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,71292,71292,,,,,71293,71293,2970464,2970464
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,epoch,Not defined,novel start,POINT,1221.667,1221.667,,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,73300,73300,,,,,73301,73301,3054128,3054128
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,cup interaction,Not defined,,STATE,1221.683,1224.433,2.75,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,73301,73466,,,,,73302,73467,3054170,3061045
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,cup interaction,Not defined,,STATE,1227.333,1288.117,60.784,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,73640,77287,,,,,73641,77288,3068295,3220249
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,cup interaction,Not defined,,STATE,1296.05,1323.217,27.167,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,77763,79393,,,,,77764,79394,3240082,3307997
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,cup interaction,Not defined,,STATE,1327.733,1372.683,44.95,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,79664,82361,,,,,79665,82362,3319288,3431660
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,cup interaction,Not defined,,STATE,1384.033,1391.55,7.517,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,83042,83493,,,,,83043,83494,3460034,3478825
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,cup interaction,Not defined,,STATE,1395.267,1398.817,3.55,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,83716,83929,,,,,83717,83930,3488117,3496991
7742_SSintro,07:22.5,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,3690.517,3690.533,60,No focal subject,2316.972,cup interaction,Not defined,,STATE,1405,1499.15,94.15,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_SSintro_Jan28.mp4,84300,89949,,,,,84301,89950,3512449,3747818
