Cluster ID,Firing Rate (Hz),True Count,Mean Permuted,Normalized True,Normalized Mean,Z-Score,p-value (two-tailed)
58.0,30.013776653731828,140,149.954,4.664524615318372,4.996172315467509,-0.572068323608531,0.5554445554445554
61.0,20.47712354598172,584,187.629,28.519630635065436,9.16285920621009,9.905113300756836,0.001998001998001998
95.0,42.1176919847376,934,388.28,22.175953999057175,9.218928713869293,11.343794556450769,0.000999000999000999
114.0,3.2584210947279817,144,25.555,44.19318308274743,7.842755511663962,10.187703686682417,0.002997002997002997
157.0,39.693877829146,827,298.061,20.834447154789178,7.508991721165195,11.64881577958307,0.001998001998001998
177.0,30.19000278108326,105,115.943,3.47797251829973,3.8404435018021488,-0.8280689640880947,0.46853146853146854
190.0,42.24351743966652,1467,384.56,34.7272218061674,9.103408601076847,12.138949453759244,0.001998001998001998
231.0,3.143169207440145,26,10.567,8.27190592808552,3.3618934593107572,4.85525264302606,0.001998001998001998
235.0,17.708258633036017,75,77.141,4.2353119837589315,4.356216023188637,-0.22523931483644868,0.8081918081918081
0.0,12.780976112289974,824,125.266,64.4708191894401,9.80097285993253,12.978992575020396,0.002997002997002997
12.0,15.6020039589317,179,84.843,11.472885180081475,5.437955292366774,7.405538684342607,0.001998001998001998
33.0,39.35834328266887,170,190.025,4.319287495895645,4.828074155338647,-1.1006811811632822,0.23576423576423577
35.0,2.9207718347226375,314,22.89,107.50582988616709,7.836969573548933,15.08223565616623,0.001998001998001998
41.0,25.35576765557877,75,88.237,2.957906895928608,3.479957743680701,-1.0464542913108066,0.3166833166833167
49.0,1.8944308690278964,69,14.318,36.42254839069767,7.557942722579845,10.996024735994894,0.001998001998001998
74.0,0.9607848463200085,17,8.973,17.693867742724382,9.339239720909758,2.0885630138089346,0.03696303696303696
84.0,9.312493473759083,37,53.43,3.9731571468220928,5.737453685262282,-1.7587298149676893,0.06393606393606394
97.0,10.123838564085078,381,90.958,37.63394660910736,8.98453678653855,12.19441278405476,0.001998001998001998
136.0,0.02149958753687473,5,0.312,232.5626010928962,14.511906308196721,8.574008915275952,0.001998001998001998
155.0,10.779399757832406,211,62.654,19.57437378149795,5.812383009033045,9.94726852977501,0.001998001998001998
187.0,9.849983162180953,423,102.601,42.94423584642358,10.416362983638075,11.00756443802449,0.000999000999000999
193.0,27.482464560455853,125,122.016,4.548354814577322,4.439776488443732,0.19226954125325976,0.8911088911088911
197.0,38.76516613800395,499,308.279,12.872381308093987,7.952474623803419,7.6977315437394385,0.002997002997002997
219.0,1.72384397775171,52,10.206,30.165142942820143,5.920489401431199,6.143529274814047,0.002997002997002997
224.0,0.30769081835560064,20,6.672,65.00031462390226,21.68410495853379,3.4454823398075254,0.007992007992007992
245.0,1.772834841155408,79,10.137,44.561398595096094,5.717960728588469,7.77884013948899,0.001998001998001998
173.0,21.645502770321716,121,108.398,5.590075743858621,5.007876284981709,1.2602150370174112,0.20679320679320679
