ClusterID,Classification,Waveform Duration (μs),Mean Firing Rate (Hz),Mean Autocorrelation
85,Other,466.6666666666667,5.99460193375191,21.94201341197527
87,FSI,833.3333333333334,40.281310818990974,13.397069722575656
88,Non-somatic,566.6666666666667,2.774498123533722,14.095764607744227
89,Pyramidal Neuron,600.0,0.5254768568778179,14.010838310114835
93,Pyramidal Neuron,566.6666666666667,2.0230202963757438,22.224912028154247
97,Other,400.0,7.247775673890302,23.304762704902565
106,Non-somatic,633.3333333333333,7.487061171451081,27.554465123318888
113,Other,433.3333333333333,3.900730825212865,23.883204334366667
119,Other,233.33333333333334,4.242848404316214,21.50895890411137
120,Other,200.0,10.886752109722082,22.685629910709668
156,Non-somatic,933.3333333333334,0.039033549293670616,23.260000000078662
6,Pyramidal Neuron,633.3333333333333,5.485525727837819,21.732012851406807
59,Other,333.3333333333333,1.6403931093919895,24.201345144351215
61,Pyramidal Neuron,633.3333333333333,1.0619421499013328,14.662713834901506
62,Other,466.6666666666667,0.31505650501319854,9.244942237244157
63,FSI,133.33333333333334,54.81491167700742,14.720553826088336
64,Non-somatic,666.6666666666666,0.12152882364121817,13.397738446415403
65,Pyramidal Neuron,633.3333333333333,0.5789429790195684,12.731679802191863
66,Pyramidal Neuron,566.6666666666667,0.6901393925536384,14.220122290165715
67,Other,266.6666666666667,2.4420569284989724,22.69701263882917
69,Pyramidal Neuron,733.3333333333334,0.2797951054411852,12.860775862069206
70,Other,266.6666666666667,4.3619171303128725,22.32799559956324
71,Non-somatic,633.3333333333333,1.6272725886210078,16.683333333334133
72,Non-somatic,0.0,0.5220327201754351,13.02374905517448
75,Other,233.33333333333334,12.898947976461764,20.513093232391597
77,FSI,366.6666666666667,46.47895281167383,14.283865888317072
78,Pyramidal Neuron,633.3333333333333,6.377229120735665,27.058019162210172
107,Pyramidal Neuron,1066.6666666666667,1.6507255194991375,14.129634641407922
109,Other,500.0,4.453760775709744,26.2838529176632
110,Other,500.0,22.246991012766966,21.086185703479842
111,Non-somatic,466.6666666666667,4.470325433183109,29.14922322158773
123,Pyramidal Neuron,566.6666666666667,10.1559391027784,24.440532954465187
125,Pyramidal Neuron,600.0,17.514583177183496,22.228920058336573
126,Pyramidal Neuron,633.3333333333333,7.7791567651150615,25.448707962084598
127,Pyramidal Neuron,566.6666666666667,11.9688670603088,22.751593364993234
140,Other,433.3333333333333,3.7842862033704026,24.27616838140832
142,Pyramidal Neuron,633.3333333333333,0.13268126629655264,9.784708737861186
145,Other,300.0,3.6337282275233873,23.491568520866675
9,Pyramidal Neuron,600.0,2.2396728956065797,11.860060936904047
10,Pyramidal Neuron,633.3333333333333,5.7369477071117565,15.17773493976026
50,Other,333.3333333333333,25.02493327300307,21.415120136548538
51,FSI,166.66666666666666,52.07124677728551,14.834404703985115
80,Pyramidal Neuron,733.3333333333334,2.9184958389952462,15.655631924176236
81,Pyramidal Neuron,700.0,4.391930321576493,14.81013641181856
82,Pyramidal Neuron,800.0,2.1002673624148986,14.90365067403765
84,Other,233.33333333333334,14.248229531247597,22.42757199882929
154,FSI,466.6666666666667,37.55995080457973,18.840735163255285
7,FSI,266.6666666666667,78.30474401980564,11.393455741353796
41,Non-somatic,833.3333333333334,3.708515195917983,15.800203657523777
42,Non-somatic,566.6666666666667,3.1221919239647375,14.745102953460322
43,Pyramidal Neuron,700.0,7.565128270038422,17.234433756012045
45,Pyramidal Neuron,733.3333333333334,7.456391954148911,14.695324484291454
46,Pyramidal Neuron,700.0,7.199393753547307,16.183271901252517
47,FSI,200.0,40.54749338413227,16.784312042071868
54,Other,266.6666666666667,10.222361739181494,21.36283308671033
