Start,Peak,Stop,Trough,Max_Envelope_Amp,Duration_s,Peak_Freq,awake_state,sleep_state
164.554,164.5652,164.5812,164.5672,9.433433532714844,0.0272,147.05882352941177,False,sleep
165.588,165.612,165.6208,165.6104,6.09614372253418,0.0328,152.4390243902439,False,sleep
165.6996,165.7084,165.7288,165.7112,5.260577201843262,0.0292,171.23287671232876,False,sleep
166.0152,166.1144,166.1304,166.1132,9.319109916687012,0.1152,138.88888888888889,False,sleep
166.614,166.626,166.6424,166.626,9.174010276794434,0.0284,140.8450704225352,False,sleep
167.936,167.9468,167.9576,167.944,5.780213832855225,0.0216,138.88888888888886,False,sleep
167.9836,167.9924,168.0408,167.9912,4.879940986633301,0.0572,192.30769230769232,False,sleep
172.4168,172.4232,172.4488,172.4192,3.7812349796295166,0.032,156.25,False,sleep
172.57,172.5944,172.5996,172.5936,4.106618881225586,0.0296,168.9189189189189,False,sleep
173.7712,173.78,173.8044,173.7792,7.5295939445495605,0.0332,150.6024096385542,False,sleep
175.648,175.6616,175.7344,175.66,5.026895999908447,0.0864,150.46296296296293,False,sleep
178.3828,178.396,178.4184,178.3972,9.697407722473145,0.0356,140.4494382022472,False,sleep
178.5012,178.5204,178.546,178.5196,5.183096885681152,0.0448,178.57142857142858,True,awake
184.7024,184.7212,184.7292,184.7232,3.880622625350952,0.0268,186.56716417910448,False,sleep
185.7888,185.8048,185.8156,185.8032,11.31134033203125,0.0268,149.2537313432836,False,sleep
186.0536,186.07,186.0848,186.0708,3.36928129196167,0.0312,160.25641025641025,False,sleep
188.6496,188.6764,188.6828,188.6752,3.1888556480407715,0.0332,120.48192771084337,False,sleep
254.3272,254.3328,254.3708,254.3692,3.0479843616485596,0.0436,137.61467889908258,True,awake
254.4364,254.4448,254.4664,254.4448,3.4882538318634033,0.03,166.66666666666663,True,awake
254.5444,254.5524,254.7412,254.5508,7.119600296020508,0.1968,157.520325203252,True,awake
254.9128,254.9172,254.9368,254.9156,3.260788917541504,0.024,125.0,True,awake
