ClusterID,Classification,Waveform Duration (μs),Mean Firing Rate (Hz),Mean Autocorrelation
19,Pyramidal Neuron,600.0,3.104264920928495,17.626735985534445
32,Pyramidal Neuron,600.0,3.787860413501944,16.419888744810212
33,Pyramidal Neuron,666.6666666666666,2.6162946125309903,13.758048855499597
34,Pyramidal Neuron,700.0,3.8733300843707057,18.043579834500516
35,Pyramidal Neuron,800.0,2.321521372659749,20.065932047749307
36,Pyramidal Neuron,766.6666666666667,2.584567234708495,17.67666494133508
38,Pyramidal Neuron,700.0,2.192588431661702,21.07086143764441
39,Pyramidal Neuron,700.0,2.702492718094656,21.014143073811564
40,Other,300.0,4.493875507240778,24.55838677685761
41,Other,266.6666666666667,3.01329152125379,20.910016313213816
42,Other,233.33333333333334,3.4419348706107624,22.966011255235752
94,Pyramidal Neuron,800.0,0.3296571680383209,17.682023217249835
115,Pyramidal Neuron,833.3333333333334,0.5411460411255128,18.678844589104898
116,Pyramidal Neuron,800.0,0.06912035882757821,17.38500000006492
0,Non-somatic,633.3333333333333,3.164320314663932,21.129758588674175
4,Other,466.6666666666667,2.5187653006021473,12.830171916470618
5,Pyramidal Neuron,600.0,3.3512042825010253,18.762067126623144
6,Pyramidal Neuron,566.6666666666667,2.131804603231361,20.033118477594225
7,Pyramidal Neuron,700.0,1.2869822315191113,23.45165692007837
8,Pyramidal Neuron,633.3333333333333,4.3854196748883725,24.582166022884795
9,Pyramidal Neuron,766.6666666666667,5.055093971070319,14.38272746695735
10,Pyramidal Neuron,666.6666666666666,5.734480729850988,23.02466172289329
11,Other,400.0,12.345349334860076,21.64381454497503
20,Pyramidal Neuron,833.3333333333334,1.5899301274109443,14.687506322714581
21,Pyramidal Neuron,733.3333333333334,4.864244081005413,22.74060317093928
22,Pyramidal Neuron,766.6666666666667,2.360856846184577,19.44307116105124
23,Other,400.0,5.4499055757084065,20.448995633186023
90,Pyramidal Neuron,633.3333333333333,0.045567637025675095,13.489285714278765
91,Pyramidal Neuron,833.3333333333334,1.7190249427856366,13.126653593168538
93,Pyramidal Neuron,766.6666666666667,1.4099258205812792,13.337382779199412
114,Pyramidal Neuron,700.0,0.09412995001928977,16.41784037562333
59,Non-somatic,833.3333333333334,1.5898491902226215,17.440911243720148
60,Non-somatic,266.6666666666667,3.01960462194296,39.81918168172005
61,Pyramidal Neuron,700.0,6.552512892228427,18.31490731302282
62,Other,233.33333333333334,7.089935822691096,23.874998064938282
63,Pyramidal Neuron,633.3333333333333,2.907668490492678,21.65180103663001
68,Pyramidal Neuron,766.6666666666667,4.236252436809653,19.282412759578012
69,Pyramidal Neuron,700.0,3.3061222686052867,19.477949782896108
70,Other,333.3333333333333,10.384726884931206,22.188538245062478
71,Other,333.3333333333333,5.637032355110468,22.980389750584393
72,Other,366.6666666666667,5.4778289056797345,23.493146358167
98,Non-somatic,866.6666666666666,0.6489543759713373,16.98654073199151
122,Non-somatic,666.6666666666666,0.7539299092258677,13.458403299452586
27,Pyramidal Neuron,600.0,6.732355324681447,22.81553457278119
28,Pyramidal Neuron,666.6666666666666,0.07899469580294653,24.82000000010392
30,Pyramidal Neuron,766.6666666666667,4.8435241607948045,16.355661475117778
46,Other,233.33333333333334,25.0158233552124,18.783184392666147
47,Pyramidal Neuron,766.6666666666667,0.525363289402588,11.459835364554918
48,Pyramidal Neuron,766.6666666666667,2.7275832464746905,14.71823252570929
49,Pyramidal Neuron,766.6666666666667,0.3640554730754646,11.9237422771421
50,Other,200.0,21.596065274202058,20.849193128402593
51,Pyramidal Neuron,533.3333333333334,1.8044136764660756,21.77535249954311
52,Pyramidal Neuron,733.3333333333334,5.139754270055854,16.345349056080078
53,Pyramidal Neuron,733.3333333333334,5.949935525165992,18.484005968455204
54,Pyramidal Neuron,733.3333333333334,4.283276943225136,13.478513649513332
55,Pyramidal Neuron,766.6666666666667,0.8374570875748849,18.280698739976412
57,Other,233.33333333333334,27.533617409554676,19.769144693404204
96,Other,233.33333333333334,3.950625099218876,22.83994798106868
119,Other,366.6666666666667,1.262458263457336,26.034415954425516
129,Pyramidal Neuron,733.3333333333334,0.04176358917450861,22.77916666668034
