Start,Peak,Stop,Trough,Max_Envelope_Amp,Duration_ms,Event Times,Event Cluster IDs,Unique Event Cluster IDs,Sorted Event Cluster IDs
460.4052,460.4472,460.4564,460.4444,7.147718906402588,0.0512,"[460.40613333333334, 460.4066, 460.4069333333333, 460.40936666666664, 460.41113333333334, 460.41116666666665, 460.4112666666667, 460.4128333333333, 460.4149, 460.4152, 460.4155333333333, 460.4157666666667, 460.4164666666667, 460.4168, 460.4177666666667, 460.4206, 460.42126666666667, 460.4225, 460.4227, 460.42293333333333, 460.42316666666665, 460.4232333333333, 460.4234666666667, 460.4251, 460.4262, 460.4275, 460.42783333333335, 460.4279666666667, 460.42833333333334, 460.43056666666666, 460.43086666666665, 460.4311333333333, 460.4313333333333, 460.43236666666667, 460.43236666666667, 460.4327, 460.43466666666666, 460.4347666666667, 460.4375666666666, 460.4384333333333, 460.4391, 460.43916666666667, 460.44033333333334, 460.4408, 460.4408333333334, 460.4408666666667, 460.4409, 460.4424333333333, 460.4438666666667, 460.4442666666667, 460.4444, 460.4452, 460.446, 460.4461, 460.4463666666667, 460.4470666666667, 460.44846666666666, 460.44866666666667, 460.44983333333334, 460.45303333333334, 460.4535, 460.4537, 460.45453333333336]","[85, 60, 67, 85, 60, 63, 190, 85, 94, 67, 60, 85, 63, 16, 190, 85, 67, 216, 63, 233, 60, 67, 16, 85, 190, 67, 60, 196, 16, 138, 94, 60, 67, 16, 196, 85, 67, 60, 227, 67, 85, 16, 63, 67, 94, 65, 196, 190, 236, 227, 63, 67, 60, 220, 85, 16, 94, 67, 190, 85, 16, 196, 60]","[85, 60, 67, 63, 190, 94, 16, 216, 233, 196, 138, 227, 65, 236, 220]","[16, 60, 63, 65, 67, 85, 94, 138, 190, 196, 216, 220, 227, 233, 236]"
460.5116,460.516,460.5408,460.5176,3.121037483215332,0.0292,"[460.5120333333333, 460.51213333333334, 460.5128, 460.5129, 460.5133, 460.51413333333335, 460.5154333333333, 460.5167333333333, 460.51736666666665, 460.5181, 460.5183, 460.5186, 460.52113333333335, 460.5226333333333, 460.5231333333333, 460.5232, 460.5232, 460.5233666666667, 460.5241, 460.52433333333335, 460.52436666666665, 460.5246, 460.5246333333333, 460.52506666666665, 460.5251333333333, 460.5253666666667, 460.5255, 460.52706666666666, 460.5283333333333, 460.5292, 460.5294, 460.5299, 460.53186666666664, 460.5323, 460.53316666666666, 460.53343333333333, 460.5351333333333, 460.5357666666667, 460.5359, 460.5373666666667, 460.5375333333334, 460.53886666666665, 460.5391333333333, 460.53993333333335, 460.54, 460.54063333333335]","[63, 196, 230, 224, 67, 85, 16, 67, 230, 216, 85, 224, 67, 233, 110, 85, 224, 103, 67, 16, 196, 94, 63, 196, 233, 60, 85, 16, 224, 67, 226, 85, 60, 67, 196, 16, 63, 195, 60, 85, 67, 191, 195, 66, 85, 60]","[63, 196, 230, 224, 67, 85, 16, 216, 233, 110, 103, 94, 60, 226, 195, 191, 66]","[16, 60, 63, 66, 67, 85, 94, 103, 110, 191, 195, 196, 216, 224, 226, 230, 233]"
461.6172,461.65,461.6576,461.6512,4.494009971618652,0.0404,"[461.6177666666667, 461.61813333333333, 461.61923333333334, 461.61993333333334, 461.6220333333333, 461.62233333333336, 461.62373333333335, 461.6252666666667, 461.62693333333334, 461.6272333333333, 461.62763333333334, 461.6279333333333, 461.62923333333333, 461.62963333333335, 461.63033333333334, 461.63093333333336, 461.63143333333335, 461.6329333333333, 461.6340333333333, 461.63446666666664, 461.6354666666667, 461.6362, 461.63666666666666, 461.6385333333333, 461.63913333333335, 461.64003333333335, 461.64053333333334, 461.64053333333334, 461.6424333333333, 461.64276666666666, 461.6428666666667, 461.643, 461.6432, 461.6435333333333, 461.64383333333336, 461.6454, 461.64543333333336, 461.64633333333336, 461.6466, 461.6485333333333, 461.6489, 461.651, 461.6514333333334, 461.6519333333333, 461.65256666666664, 461.6526666666667, 461.6562]","[16, 85, 236, 67, 60, 236, 196, 94, 67, 85, 237, 16, 63, 196, 94, 67, 233, 236, 60, 67, 16, 236, 237, 85, 236, 63, 67, 196, 85, 66, 94, 65, 67, 216, 236, 63, 170, 196, 236, 67, 85, 216, 236, 237, 216, 120, 16]","[16, 85, 236, 67, 60, 196, 94, 237, 63, 233, 66, 65, 216, 170, 120]","[16, 60, 63, 65, 66, 67, 85, 94, 120, 170, 196, 216, 233, 236, 237]"
461.9728,461.984,462.0088,461.9864,6.995054244995117,0.036,"[461.97293333333334, 461.9791666666667, 461.9801, 461.98153333333335, 461.9830666666667, 461.98563333333334, 461.9859666666667, 461.98606666666666, 461.98653333333334, 461.98763333333335, 461.99016666666665, 461.9920666666667, 461.9938, 461.99396666666667, 461.99403333333333, 461.99466666666666, 461.9947666666667, 461.9963, 461.997, 461.99743333333333, 461.9975666666666, 461.9981, 461.99916666666667, 461.99923333333334, 462.00306666666665, 462.0031333333333, 462.0031333333333, 462.0040666666667, 462.0056333333333, 462.0058666666667]","[85, 196, 63, 85, 60, 63, 196, 85, 67, 16, 60, 85, 67, 65, 196, 196, 16, 78, 63, 233, 85, 67, 196, 78, 16, 63, 78, 60, 85, 78]","[85, 196, 63, 60, 67, 16, 65, 78, 233]","[16, 60, 63, 65, 67, 78, 85, 196, 233]"
463.896,463.906,463.9164,463.908,5.892794609069824,0.0204,"[463.89723333333336, 463.8983666666667, 463.90026666666665, 463.9005, 463.9005, 463.90066666666667, 463.9018, 463.90183333333334, 463.9029, 463.9029, 463.90323333333333, 463.90743333333336, 463.9077, 463.90776666666665, 463.9086, 463.9102, 463.91153333333335, 463.91433333333333, 463.9143666666667, 463.9147, 463.91473333333334]","[196, 60, 196, 103, 85, 67, 138, 16, 60, 63, 196, 63, 85, 222, 67, 60, 172, 72, 235, 196, 85]","[196, 60, 103, 85, 67, 138, 16, 63, 222, 172, 72, 235]","[16, 60, 63, 67, 72, 85, 103, 138, 172, 196, 222, 235]"
468.1452,468.1656,468.1876,468.1664,10.440479278564451,0.0424,"[468.1454, 468.14543333333336, 468.1456, 468.1456, 468.1456666666666, 468.1471666666667, 468.14916666666664, 468.1494, 468.14973333333336, 468.14976666666666, 468.15, 468.1505666666667, 468.151, 468.153, 468.1530333333333, 468.1539, 468.15403333333336, 468.1560666666667, 468.1566666666667, 468.1572, 468.1577, 468.15776666666665, 468.158, 468.1598666666667, 468.15993333333336, 468.16023333333334, 468.1605333333333, 468.16183333333333, 468.16206666666665, 468.16386666666665, 468.1639, 468.1641333333333, 468.16433333333333, 468.16513333333336, 468.16603333333336, 468.16613333333333, 468.1668666666667, 468.1673, 468.16746666666666, 468.1687, 468.1689666666667, 468.1691333333333, 468.1698, 468.1703, 468.17066666666665, 468.1707666666667, 468.1736666666667, 468.1743333333333, 468.1744, 468.1748666666667, 468.17516666666666, 468.1763666666667, 468.1768333333333, 468.18053333333336, 468.1807666666666, 468.1811, 468.1814, 468.1820333333333, 468.1822666666667, 468.18536666666665, 468.1865333333334, 468.1868, 468.187, 468.1874]","[222, 63, 200, 16, 60, 85, 16, 196, 191, 67, 85, 222, 60, 222, 7, 67, 85, 63, 72, 85, 16, 67, 60, 103, 222, 85, 196, 63, 200, 16, 85, 67, 222, 237, 199, 98, 222, 60, 191, 85, 67, 16, 215, 199, 60, 85, 222, 138, 67, 60, 199, 85, 196, 237, 85, 67, 16, 63, 60, 222, 138, 85, 67, 191]","[222, 63, 200, 16, 60, 85, 196, 191, 67, 7, 72, 103, 237, 199, 98, 215, 138]","[7, 16, 60, 63, 67, 72, 85, 98, 103, 138, 191, 196, 199, 200, 215, 222, 237]"
468.5532,468.5612,468.594,468.5624,3.238193988800049,0.0408,"[468.5532666666667, 468.55336666666665, 468.55353333333335, 468.5550666666667, 468.5552333333333, 468.55623333333335, 468.55713333333335, 468.5579, 468.5579666666667, 468.5588333333333, 468.5597333333333, 468.5597666666667, 468.5600666666666, 468.56193333333334, 468.56306666666666, 468.56333333333333, 468.5647333333333, 468.56483333333335, 468.5649666666667, 468.56646666666666, 468.5667666666667, 468.56733333333335, 468.571, 468.5717333333333, 468.5722333333333, 468.57273333333336, 468.5728, 468.5744, 468.5749666666667, 468.5755, 468.5763333333333, 468.577, 468.5799333333333, 468.58026666666666, 468.58093333333335, 468.5812, 468.5824, 468.58273333333335, 468.58636666666666, 468.5867, 468.5871, 468.58723333333336, 468.58726666666666, 468.5882, 468.5887333333333, 468.5891, 468.591, 468.5928]","[67, 224, 85, 60, 16, 67, 63, 85, 224, 60, 67, 170, 196, 16, 85, 63, 60, 226, 67, 16, 224, 85, 63, 224, 16, 67, 226, 85, 60, 110, 85, 67, 16, 85, 7, 226, 67, 63, 85, 63, 60, 63, 16, 67, 94, 233, 223, 67]","[67, 224, 85, 60, 16, 63, 170, 196, 226, 110, 7, 94, 233, 223]","[7, 16, 60, 63, 67, 85, 94, 110, 170, 196, 223, 224, 226, 233]"
469.7752,469.8212,469.8532,469.7936,5.139526844024658,0.078,"[469.7754, 469.7760666666667, 469.7760666666667, 469.7764333333334, 469.7769333333333, 469.77753333333334, 469.7778666666667, 469.77816666666666, 469.7819333333333, 469.78296666666665, 469.7831, 469.7835666666667, 469.78366666666665, 469.7879, 469.7884666666667, 469.7884666666667, 469.7887333333333, 469.7887666666667, 469.7888, 469.7904, 469.79043333333334, 469.7907333333333, 469.7916, 469.796, 469.79603333333336, 469.7965, 469.797, 469.7995, 469.7996, 469.7998333333333, 469.8009333333333, 469.8014666666666, 469.8019, 469.80313333333334, 469.80313333333334, 469.8045666666667, 469.8064, 469.80696666666665, 469.807, 469.8072, 469.8075, 469.8102, 469.81086666666664, 469.81303333333335, 469.8131, 469.81323333333336, 469.8142, 469.8181, 469.81966666666665, 469.8203, 469.82303333333334, 469.8239, 469.82506666666666, 469.82506666666666, 469.8251, 469.8262, 469.8283666666667, 469.8291, 469.8297333333333, 469.83003333333335, 469.83363333333335, 469.83383333333336, 469.83393333333333, 469.8348, 469.8398, 469.8398666666667, 469.8401666666667, 469.84043333333335, 469.84076666666664, 469.8409, 469.84113333333335, 469.8419666666667, 469.8459, 469.84616666666665, 469.84656666666666, 469.8471333333333, 469.8493]","[63, 72, 235, 16, 60, 173, 196, 67, 85, 222, 63, 67, 16, 85, 63, 16, 72, 235, 86, 67, 85, 237, 16, 60, 85, 67, 16, 196, 138, 85, 67, 16, 60, 86, 7, 16, 196, 72, 235, 85, 63, 67, 138, 94, 66, 85, 60, 16, 63, 60, 85, 172, 67, 16, 63, 170, 85, 16, 67, 98, 16, 85, 195, 60, 60, 86, 63, 85, 16, 173, 67, 233, 196, 85, 16, 60, 138]","[63, 72, 235, 16, 60, 173, 196, 67, 85, 222, 86, 237, 138, 7, 94, 66, 172, 170, 98, 195, 233]","[7, 16, 60, 63, 66, 67, 72, 85, 86, 94, 98, 138, 170, 172, 173, 195, 196, 222, 233, 235, 237]"
471.6216,471.6704,471.6772,471.6688,4.519584655761719,0.0556,"[471.622, 471.62423333333334, 471.6245, 471.6249333333334, 471.6250666666666, 471.6252333333333, 471.6256, 471.6270333333333, 471.6275, 471.62803333333335, 471.6290333333333, 471.62916666666666, 471.62943333333334, 471.6297333333333, 471.6322, 471.6322666666667, 471.6327, 471.6332, 471.63376666666665, 471.6342333333333, 471.6342666666667, 471.6357, 471.63683333333336, 471.6369333333334, 471.638, 471.6383333333333, 471.6384, 471.6394666666667, 471.6402, 471.64023333333336, 471.6403666666667, 471.6406666666667, 471.6422, 471.64276666666666, 471.6428666666667, 471.6451, 471.64543333333336, 471.6456, 471.6458, 471.6462333333333, 471.64643333333333, 471.6465, 471.6466, 471.6476666666667, 471.64823333333334, 471.6508, 471.65203333333335, 471.6524, 471.65256666666664, 471.65406666666667, 471.6560333333333, 471.65633333333335, 471.6568, 471.6569333333333, 471.6571333333333, 471.65746666666666, 471.659, 471.6627, 471.6630666666667, 471.6645, 471.6646333333333, 471.66853333333336, 471.66886666666664, 471.6695, 471.6695, 471.6702333333334, 471.67246666666665, 471.67296666666664, 471.67336666666665, 471.6734666666667, 471.6743666666667, 471.6745333333334, 471.6761333333333]","[85, 16, 224, 63, 60, 67, 85, 191, 216, 85, 16, 230, 67, 60, 216, 67, 85, 16, 235, 7, 224, 191, 60, 67, 85, 191, 140, 236, 85, 94, 216, 67, 16, 60, 63, 85, 66, 216, 67, 236, 236, 191, 85, 16, 67, 63, 85, 16, 196, 67, 236, 60, 67, 172, 85, 16, 170, 196, 85, 16, 60, 85, 196, 67, 60, 63, 98, 85, 67, 138, 196, 60, 85]","[85, 16, 224, 63, 60, 67, 191, 216, 230, 235, 7, 140, 236, 94, 66, 196, 172, 170, 98, 138]","[7, 16, 60, 63, 66, 67, 85, 94, 98, 138, 140, 170, 172, 191, 196, 216, 224, 230, 235, 236]"
520.3208,520.332,520.3576,520.3408,4.7099714279174805,0.0368,"[520.3208333333333, 520.3220333333334, 520.3243, 520.3249, 520.3267, 520.3282, 520.3283666666666, 520.3285, 520.3294333333333, 520.3300666666667, 520.3306666666666, 520.3323, 520.3343666666667, 520.3344, 520.3351, 520.3375333333333, 520.3377666666667, 520.3389333333333, 520.3389333333333, 520.3400666666666, 520.3403666666667, 520.3418, 520.3423333333334, 520.3432, 520.3434333333333, 520.3436333333333, 520.3455666666666, 520.3462, 520.3473333333334, 520.3477666666666, 520.3481, 520.3502333333333, 520.3502333333333, 520.3520333333333, 520.3521666666667, 520.3531, 520.3539666666667, 520.3559333333334, 520.3565333333333]","[16, 196, 67, 60, 222, 85, 67, 196, 16, 60, 85, 222, 67, 85, 63, 85, 60, 67, 196, 222, 85, 63, 60, 85, 67, 196, 222, 216, 60, 85, 67, 16, 63, 228, 67, 60, 85, 16, 67]","[16, 196, 67, 60, 222, 85, 63, 216, 228]","[16, 60, 63, 67, 85, 196, 216, 222, 228]"
