cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	sh
66	530.70000000	4.20000000	good	50.86663055	138	1395.00000000	23.07321938	good	83690	0
67	2054.00000000	0.40000000	good	111.21453857	143	1425.00000000	53.65040442	good	194598	0
68	1270.20000000	100.00000000	mua	106.23337555	147	1095.00000000	0.00192989	noise	7	0
69	671.70000000	50.70000000	mua	54.03125000	170	1275.00000000	8.28639840	mua	30056	0
70	352.40000000	59.70000000	mua	26.96892929	171	1275.00000000	3.20802940	noise	11636	0
71	554.30000000	100.00000000	mua	50.19512939	173	2010.00000000	0.01709332	noise	62	0
72	468.80000000	0.00000000	good	43.20498657	179	2055.00000000	1.08845824	mua	3948	0
76	1312.30000000	0.00000000	mua	89.90830994	191	2145.00000000	0.01075225	noise	39	0
77	976.10000000	100.00000000	mua	77.10309601	175	2025.00000000	0.01874751	noise	68	0
78	768.20000000	0.00000000	good	55.77383041	193	1440.00000000	0.31622634	good	1147	0
79	1346.50000000	0.00000000	good	90.30702972	193	1440.00000000	0.39673035	good	1439	0
80	447.90000000	15.60000000	mua	36.57505417	192	1440.00000000	7.04961429	good	25570	0
81	619.80000000	10.50000000	mua	51.45489120	197	1470.00000000	7.77111763	good	28187	0
82	3911.00000000	0.00000000	good	75.63222504	197	1470.00000000	0.24233911	good	879	0
83	1628.40000000	0.00000000	good	85.80656433	197	1470.00000000	0.24482039	good	888	0
84	1886.70000000	100.00000000	mua	147.12519836	65	2280.00000000	0.00385978	noise	14	0
85	2258.70000000	0.10000000	good	82.75791931	199	1485.00000000	35.24614154	good	127843	0
86	1391.80000000	1.80000000	good	55.49697495	200	1500.00000000	1.00326736	good	3639	0
87	2844.60000000	0.00000000	good	109.55780029	201	1500.00000000	0.22083461	good	801	0
90	1730.50000000	0.00000000	good	93.47973633	209	1560.00000000	0.24564749	good	891	0
91	491.90000000	63.50000000	mua	38.28706741	204	1530.00000000	5.86383443	mua	21269	0
92	584.00000000	44.70000000	mua	45.77677917	210	1575.00000000	13.51033627	mua	49004	0
93	582.40000000	21.60000000	mua	41.76050568	219	1635.00000000	1.68424301	good	6109	0
94	992.20000000	0.20000000	good	57.59731674	221	1650.00000000	48.78073930	good	176935	0
95	1441.60000000	100.00000000	mua	107.29652405	229	1710.00000000	0.00303269	noise	11	0
96	519.80000000	126.50000000	mua	43.23040009	232	1740.00000000	1.61118287	mua	5844	0
97	1017.10000000	100.00000000	mua	92.60888672	228	1710.00000000	0.01792041	noise	65	0
98	631.50000000	4.10000000	good	54.57898712	235	1755.00000000	4.95899148	good	17987	0
99	565.70000000	72.20000000	mua	46.31484222	236	1770.00000000	1.25553162	mua	4554	0
100	292.10000000	20.20000000	mua	24.10300255	239	1785.00000000	1.72614920	noise	6261	0
101	1096.70000000	40.90000000	mua	56.66332626	241	2160.00000000	9.08123758	mua	32939	0
102	266.80000000	28.50000000	mua	21.74873352	241	2160.00000000	1.15821000	noise	4201	0
103	1611.10000000	3.70000000	good	62.88333893	245	2190.00000000	1.61366415	good	5853	0
104	2555.10000000	100.00000000	mua	176.46633911	175	2025.00000000	0.00082710	noise	3	0
105	745.80000000	130.70000000	mua	61.65714264	253	2250.00000000	0.85108171	noise	3087	0
106	1208.80000000	38.30000000	mua	90.73497009	253	2250.00000000	3.82145888	mua	13861	0
107	965.70000000	39.70000000	mua	79.02966309	253	2250.00000000	5.64713529	mua	20483	0
108	530.30000000	70.70000000	mua	38.88032150	256	1560.00000000	3.98715377	mua	14462	0
109	667.60000000	16.30000000	mua	53.03955460	256	1560.00000000	8.03496123	mua	29144	0
110	857.20000000	2.90000000	good	59.20485306	255	1545.00000000	1.06557525	good	3865	0
111	6379.40000000	0.00000000	good	92.65546417	257	1560.00000000	1.31370403	good	4765	0
112	2937.00000000	0.00000000	good	138.56909180	257	1560.00000000	1.18219578	good	4288	0
113	569.10000000	27.40000000	mua	44.54045868	255	1545.00000000	7.18250103	mua	26052	0
114	2054.50000000	100.00000000	mua	175.61611938	283	1755.00000000	0.00661677	noise	24	0
115	2198.00000000	inf	mua	103.33197021	339	1815.00000000	0.00248129	noise	9	0
116	1180.60000000	0.00000000	good	50.52391434	266	1635.00000000	0.77388609	mua	2807	0
117	614.20000000	26.50000000	mua	47.96617889	265	1620.00000000	6.89136327	mua	24996	0
118	507.50000000	34.60000000	mua	39.18240738	266	1635.00000000	1.71126147	good	6207	0
119	662.30000000	18.60000000	mua	52.47176361	265	1620.00000000	12.18973978	good	44214	0
120	1000.20000000	0.00000000	good	46.76749802	271	1665.00000000	0.23186256	mua	841	0
121	2498.30000000	100.00000000	mua	186.18582153	283	1755.00000000	0.00110279	noise	4	0
122	715.90000000	24.30000000	mua	52.54861450	272	1680.00000000	2.49727830	mua	9058	0
123	627.70000000	69.50000000	mua	51.09101868	279	1725.00000000	1.36002140	mua	4933	0
124	2303.50000000	100.00000000	mua	159.85656738	283	1755.00000000	0.00192989	noise	7	0
125	928.90000000	100.00000000	mua	113.62316132	340	1830.00000000	0.02646707	noise	96	0
126	1283.40000000	111.90000000	mua	78.43218994	285	1770.00000000	6.27407401	noise	22757	0
127	1148.60000000	68.00000000	mua	76.65113831	285	1770.00000000	9.00569615	noise	32665	0
128	3211.40000000	130.20000000	mua	79.46516418	285	1770.00000000	1.88715721	noise	6845	0
129	2118.00000000	0.00000000	mua	107.49423218	339	1815.00000000	0.00385978	noise	14	0
130	1556.90000000	inf	mua	98.92053223	340	1830.00000000	0.00385978	noise	14	0
131	1707.60000000	804.40000000	mua	102.76583862	285	1770.00000000	0.04052770	noise	147	0
132	687.30000000	69.20000000	mua	51.10352325	343	1845.00000000	5.07699050	mua	18415	0
134	1518.00000000	100.00000000	good	78.65360260	348	1890.00000000	0.00716816	noise	26	0
135	1846.10000000	100.00000000	mua	163.67959595	303	1905.00000000	0.00744386	noise	27	0
136	436.80000000	120.00000000	mua	37.47843933	292	1830.00000000	0.40417421	noise	1466	0
137	1323.60000000	100.00000000	mua	174.35803223	65	2280.00000000	0.03914921	noise	142	0
138	6691.80000000	0.00000000	good	140.23892212	315	1995.00000000	3.70235707	mua	13429	0
139	2508.60000000	100.00000000	mua	137.28483582	303	1905.00000000	0.00137849	noise	5	0
140	798.80000000	0.80000000	good	62.69625854	323	2055.00000000	20.15136517	good	73092	0
141	1955.40000000	100.00000000	mua	153.47726440	321	2040.00000000	0.00165419	noise	6	0
144	2550.40000000	0.00000000	mua	157.46736145	65	2280.00000000	0.00165419	noise	6	0
