Observation id,Observation date,Description,Observation type,Source,Total duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,EventType,Behavioral category,Modifier #1,Behavior type,Start (s),Stop (s),Duration (s),Media file name,StartFrame,EndFrame,Image file path start,Image file path stop,Comment start,Comment stop,ActualStartFrame,ActualEndFrame,indexStart,indexEnd
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,sleeping,Not defined,,STATE,903.417,930.117,26.7,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,54205,55807,,,,,54206,55809,2268266,2335055
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,sleeping,Not defined,,STATE,934.367,1002.633,68.266,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,56062,60158,,,,,56064,60160,2345680,2516342
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,sleeping,Not defined,,STATE,1007.433,1111.867,104.434,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,60446,66712,,,,,60448,66714,2528342,2789418
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,sleeping,Not defined,,STATE,1117.717,1140.7,22.983,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,67063,68442,,,,,67065,68444,2804043,2861500
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,sleeping,Not defined,,STATE,1145.25,1196.117,50.867,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,68715,71767,,,,,68717,71769,2872874,3000037
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,sleeping,Not defined,,STATE,1201.9,1225.483,23.583,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,72115,73529,,,,,72117,73531,3014537,3073452
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,epoch,Not defined,rest end ,POINT,1295.382,1295.382,,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,77723,77723,,,,,77725,77725,3248197,3248197
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,epoch,Not defined,novel start,POINT,1348.767,1348.767,,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,80926,80926,,,,,80928,80928,3381652,3381652
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,cup interaction,Not defined,,STATE,1348.883,1359.667,10.784,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,80933,81580,,,,,80935,81582,3381944,3408901
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,cup interaction,Not defined,,STATE,1360.183,1369.317,9.134,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,81611,82159,,,,,81613,82161,3410193,3433026
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,cup interaction,Not defined,,STATE,1370.367,1382.2,11.833,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,82222,82932,,,,,82224,82934,3435650,3465233
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,cup interaction,Not defined,,STATE,1383.783,1386.45,2.667,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,83027,83187,,,,,83029,83189,3469191,3475858
7744_SSIntro,42:51.3,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,3935.2,4096.583,60,No focal subject,1395.025,cup interaction,Not defined,,STATE,1388.433,1395.967,7.534,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7744_SSintro_Jan27.mp4,83306,83758,,,,,83308,83760,3480816,3499649
