Start,Peak,Stop,Trough,Max_Envelope_Amp,Duration_ms,Event Times,Event Cluster IDs
491.6564,491.6708,491.6784,491.6684,6.842095375061035,0.022,"[491.6599, 491.6612, 491.6612666666667, 491.6623333333333, 491.66266666666667, 491.6633, 491.66433333333333, 491.6671333333333, 491.6682666666667, 491.6693, 491.6693333333333, 491.6695, 491.6703, 491.6712, 491.67606666666666, 491.6761666666667, 491.67803333333336]","[80, 65, 16, 61, 56, 80, 116, 65, 80, 61, 16, 65, 87, 120, 80, 65, 16]"
501.9352,501.9448,501.9584,501.9476,3.670274019241333,0.0232,"[501.9354666666667, 501.9371, 501.9382, 501.93823333333336, 501.93943333333334, 501.94003333333336, 501.9402333333333, 501.9412, 501.9426, 501.94283333333334, 501.94303333333335, 501.94343333333336, 501.9448, 501.945, 501.9452, 501.9465, 501.94733333333335, 501.9477, 501.9479666666667, 501.9511, 501.95143333333334, 501.9553666666667, 501.9555, 501.9557, 501.95596666666665, 501.9562333333334, 501.9567666666667, 501.95683333333335, 501.9571666666667]","[143, 65, 16, 80, 56, 87, 65, 61, 16, 143, 56, 80, 65, 87, 64, 16, 56, 65, 61, 80, 66, 80, 65, 87, 64, 16, 61, 56, 65]"
502.6964,502.7136,502.7292,502.7124,6.689425945281982,0.0328,"[502.6965666666667, 502.6974666666667, 502.69936666666666, 502.7001, 502.70026666666666, 502.70033333333333, 502.70056666666665, 502.7017, 502.7069333333333, 502.7081333333333, 502.7082, 502.7088, 502.7119333333333, 502.7121333333333, 502.7125, 502.7126666666667, 502.7133, 502.7137666666667, 502.7142666666667, 502.7148, 502.7169666666667, 502.7169666666667, 502.7180666666667, 502.71843333333334, 502.7191666666667, 502.72046666666665, 502.7205, 502.7205666666667, 502.72336666666666, 502.72423333333336, 502.72473333333335, 502.7255333333333, 502.72586666666666, 502.7268]","[16, 65, 87, 116, 80, 16, 118, 56, 16, 80, 56, 65, 138, 65, 87, 61, 80, 16, 138, 56, 80, 65, 56, 116, 61, 16, 65, 80, 56, 16, 159, 56, 80, 61]"
502.798,502.8252,502.8412,502.8224,5.499062538146973,0.0432,"[502.7980333333333, 502.8009333333333, 502.80133333333333, 502.8034666666667, 502.8034666666667, 502.80553333333336, 502.8072666666667, 502.80733333333336, 502.8084333333333, 502.81036666666665, 502.8119, 502.8131, 502.8145666666667, 502.8162, 502.81713333333335, 502.8181, 502.8195, 502.82093333333336, 502.8211, 502.8224666666667, 502.82283333333334, 502.8244333333334, 502.8263333333333, 502.8274, 502.82756666666666, 502.82823333333334, 502.8301333333333, 502.8303, 502.8305, 502.8321333333334, 502.8361, 502.8364666666667, 502.8385666666667]","[80, 135, 65, 80, 16, 56, 16, 65, 80, 16, 80, 65, 56, 61, 65, 80, 16, 80, 65, 61, 16, 80, 65, 80, 16, 66, 16, 80, 87, 56, 80, 65, 16]"
504.0348,504.0508,504.0724,504.0524,13.250602722167969,0.0376,"[504.0353333333333, 504.0357666666667, 504.0369333333333, 504.0371, 504.0371333333333, 504.03836666666666, 504.0387666666667, 504.0401, 504.04016666666666, 504.0423, 504.0430666666667, 504.0437, 504.0443, 504.04546666666664, 504.04676666666666, 504.0488, 504.0491333333333, 504.04966666666667, 504.05013333333335, 504.0507, 504.0518333333333, 504.0522, 504.0525666666667, 504.05313333333334, 504.0534333333333, 504.0537, 504.05403333333334, 504.05443333333335, 504.0550333333333, 504.05743333333334, 504.0581, 504.0581666666667, 504.0583, 504.0595666666667, 504.05986666666666, 504.06, 504.0605, 504.0606, 504.0609333333333, 504.0643, 504.06463333333335, 504.0649333333334, 504.0652, 504.0661333333333, 504.06693333333334, 504.06856666666664, 504.0686, 504.06873333333334, 504.06966666666665, 504.07236666666665]","[141, 80, 56, 16, 65, 80, 119, 16, 65, 164, 80, 65, 171, 80, 56, 16, 80, 65, 138, 143, 65, 16, 80, 119, 61, 149, 56, 16, 80, 65, 164, 80, 16, 87, 80, 61, 65, 16, 56, 56, 16, 65, 80, 61, 56, 80, 87, 16, 65, 80]"
508.2436,508.256,508.2656,508.258,7.648205757141113,0.022,"[508.24443333333335, 508.24496666666664, 508.2452333333333, 508.2477, 508.24783333333335, 508.24803333333335, 508.2506, 508.2508, 508.2513333333333, 508.25306666666665, 508.2545, 508.25486666666666, 508.25516666666664, 508.2579, 508.258, 508.2590333333333, 508.25933333333336, 508.26003333333335, 508.26236666666665, 508.26323333333335, 508.26373333333333, 508.2639, 508.2640666666667, 508.26483333333334]","[56, 65, 80, 16, 65, 80, 65, 80, 16, 56, 65, 80, 16, 65, 61, 56, 80, 16, 80, 65, 120, 98, 16, 61]"
510.0368,510.0656,510.0724,510.0428,5.102509021759033,0.0356,"[510.03686666666664, 510.0378, 510.03813333333335, 510.0396666666667, 510.03993333333335, 510.04023333333333, 510.0427666666667, 510.0428666666666, 510.0437, 510.0437666666666, 510.0459333333333, 510.04656666666665, 510.047, 510.0491666666667, 510.0509, 510.05353333333335, 510.0537, 510.0537, 510.05446666666666, 510.05446666666666, 510.0569, 510.05736666666667, 510.0576, 510.0577666666667, 510.0583, 510.0585, 510.06036666666665, 510.0604666666667, 510.0611333333333, 510.0631333333333, 510.0642, 510.06596666666667, 510.0663, 510.0679666666667, 510.0697333333333, 510.0704333333333, 510.07146666666665]","[80, 56, 136, 16, 65, 80, 61, 80, 16, 65, 154, 80, 65, 56, 80, 80, 148, 65, 16, 171, 80, 136, 16, 65, 56, 135, 80, 16, 65, 56, 16, 80, 56, 159, 80, 65, 56]"
511.226,511.2628,511.2704,511.2628,6.846649646759033,0.0444,"[511.2274, 511.22766666666666, 511.2279, 511.23196666666666, 511.23203333333333, 511.2324, 511.2355333333333, 511.2361333333333, 511.2370666666667, 511.2373666666667, 511.2405, 511.24126666666666, 511.2425666666667, 511.2445666666667, 511.24496666666664, 511.24516666666665, 511.24586666666664, 511.24673333333334, 511.24733333333336, 511.2477333333333, 511.2513666666667, 511.2534333333333, 511.25416666666666, 511.2543333333333, 511.25516666666664, 511.2556333333333, 511.2578, 511.2579666666667, 511.2582, 511.25853333333333, 511.2597333333333, 511.2599, 511.2608333333333, 511.2611, 511.2615333333333, 511.2617, 511.26253333333335, 511.2642, 511.26526666666666, 511.2654666666666, 511.2672333333333, 511.26823333333334, 511.26936666666666]","[80, 56, 65, 98, 80, 65, 80, 118, 65, 56, 138, 98, 80, 16, 80, 65, 56, 16, 65, 138, 80, 119, 65, 149, 118, 80, 168, 16, 65, 164, 61, 80, 16, 65, 116, 80, 168, 16, 56, 80, 65, 168, 80]"
514.4712,514.484,514.5064,514.4804,7.0750651359558105,0.0352,"[514.4726333333333, 514.4731666666667, 514.4742, 514.4747, 514.4747, 514.4761333333333, 514.4783333333334, 514.4786666666666, 514.4788333333333, 514.4796333333334, 514.4798333333333, 514.4798666666667, 514.4834333333333, 514.4846, 514.4859, 514.4887333333334, 514.4887333333334, 514.49, 514.4901333333333, 514.4908666666666, 514.4917, 514.4920666666667, 514.4935666666667, 514.4938, 514.4938333333333, 514.4938666666667, 514.4954333333334, 514.4961333333333, 514.4964666666667, 514.4965, 514.4967666666666, 514.4981666666666, 514.4995, 514.5006666666667, 514.5009, 514.5009333333334, 514.5018333333334, 514.5023666666667, 514.5033666666667]","[87, 65, 16, 138, 118, 80, 120, 119, 65, 80, 16, 61, 16, 65, 80, 56, 65, 80, 16, 118, 65, 87, 61, 116, 16, 80, 119, 56, 65, 87, 80, 138, 61, 80, 65, 87, 16, 63, 56]"
514.9792,514.9972,515.006,514.9972,4.350775241851807,0.0268,"[514.9807666666667, 514.9811, 514.9836, 514.9837333333334, 514.9841333333334, 514.9878333333334, 514.9887333333334, 514.9896333333334, 514.9921333333333, 514.9931666666666, 514.9972, 514.9974333333333, 514.9975333333333, 514.9976333333333, 515.0001333333333, 515.0044, 515.0044333333333]","[80, 65, 80, 56, 65, 80, 56, 65, 80, 65, 80, 65, 16, 61, 80, 80, 65]"
