Observation id,Observation date,Description,Observation type,Source,Total duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,EventType,Behavioral category,Modifier #1,Behavior type,Start (s),Stop (s),Duration (s),Media file name,StartFrame,EndFrame,Image file path start,Image file path stop,Comment start,Comment stop,ActualStartFrame,ActualEndFrame,indexStart,indexEnd
7742_PartnerIntro,2025-10-08 10:33:02.142,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,3959.25,3963.233,60.0,No focal subject,1538.333,social interaction,Not defined,,STATE,1857.85,1861.717,3.867,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,111471,111703,,,,,112744,112976,4702653,4712320
7742_PartnerIntro,2025-10-08 10:33:02.142,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,3959.25,3963.233,60.0,No focal subject,1538.333,social interaction,Not defined,,STATE,1867.417,1867.533,0.116,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,112045,112052,,,,,113318,113325,4726569,4726861
7742_PartnerIntro,2025-10-08 10:33:02.142,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,3959.25,3963.233,60.0,No focal subject,1538.333,social interaction,Not defined,,STATE,1893.717,1894.733,1.016,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,113623,113684,,,,,114896,114957,4792317,4794859
7742_PartnerIntro,2025-10-08 10:33:02.142,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,3959.25,3963.233,60.0,No focal subject,1538.333,social interaction,Not defined,,STATE,1895.383,1900.383,5.0,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,113723,114023,,,,,114996,115296,4796484,4808984
7742_PartnerIntro,2025-10-08 10:33:02.142,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,3959.25,3963.233,60.0,No focal subject,1538.333,social interaction,Not defined,,STATE,1914.233,1914.65,0.417,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,114854,114879,,,,,116127,116152,4843608,4844649
7742_PartnerIntro,2025-10-08 10:33:02.142,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,3959.25,3963.233,60.0,No focal subject,1538.333,social interaction,Not defined,,STATE,1915.767,1916.167,0.4,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,114946,114970,,,,,116219,116243,4847441,4848441
7742_PartnerIntro,2025-10-08 10:33:02.142,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,3959.25,3963.233,60.0,No focal subject,1538.333,social interaction,Not defined,,STATE,1918.95,1931.75,12.8,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,115137,115905,,,,,116410,117178,4855399,4887398
7742_PartnerIntro,2025-10-08 10:33:02.142,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,3959.25,3963.233,60.0,No focal subject,1538.333,social interaction,Not defined,,STATE,1933.633,1936.45,2.817,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,116018,116187,,,,,117291,117460,4892106,4899148
7742_PartnerIntro,2025-10-08 10:33:02.142,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,3959.25,3963.233,60.0,No focal subject,1538.333,social interaction,Not defined,,STATE,1944.7,1950.167,5.467,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,116682,117010,,,,,117955,118283,4919772,4933439
7742_PartnerIntro,2025-10-08 10:33:02.142,,Media file,player #1:C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,3959.25,3963.233,60.0,No focal subject,1538.333,social interaction,Not defined,,STATE,1961.533,1962.033,0.5,C:/Users/winth/OneDrive - UCB-O365/Desktop/Neuropixels Videos/7742_PartnerIntro_02062025.mp4,117692,117722,,,,,118965,118995,4961855,4963105
