Start,Peak,Stop,Trough,Max_Envelope_Amp,Duration_s,Peak_Freq,awake_state,sleep_state
38.9108,38.9192,38.9484,38.9228,4.341094970703125,0.0376,132.9787234042553,False,sleep
39.2332,39.2576,39.266,39.2564,8.651395797729492,0.0328,121.95121951219511,False,sleep
39.5596,39.572,39.58,39.5744,7.157567024230957,0.0204,147.05882352941177,False,sleep
41.2236,41.2364,41.2444,41.24,3.792339563369751,0.0208,144.23076923076923,False,sleep
44.1424,44.1932,44.2076,44.196,11.674928665161133,0.0652,153.37423312883433,False,sleep
46.7648,46.8056,46.8208,46.8028,13.208746910095215,0.056,125.0,False,sleep
48.2856,48.2956,48.3204,48.3116,5.132262229919434,0.0348,143.6781609195402,False,sleep
51.182,51.196,51.216,51.1956,10.566072463989258,0.034,147.05882352941177,True,awake
74.8864,74.9012,74.9132,74.9032,8.323583602905273,0.0268,149.2537313432836,True,awake
75.41,75.4388,75.4516,75.4376,5.007375240325928,0.0416,168.26923076923075,True,awake
76.0504,76.0628,76.0852,76.0732,6.293931484222412,0.0348,143.6781609195402,True,awake
78.9036,78.9232,78.9468,78.9256,6.347798824310303,0.0432,115.74074074074073,False,sleep
80.0716,80.0944,80.1028,80.0956,4.466188907623291,0.0312,128.2051282051282,False,sleep
80.8308,80.8444,80.856,80.838,7.558863639831543,0.0252,158.73015873015873,True,awake
142.6528,142.68,142.7064,142.68,4.758781909942627,0.0536,130.59701492537314,False,sleep
156.0568,156.0628,156.1052,156.0964,4.33319091796875,0.0484,165.2892561983471,False,sleep
157.1884,157.194,157.2104,157.206,3.939768075942993,0.022,136.36363636363637,False,sleep
157.3068,157.3656,157.372,157.3628,5.211613178253174,0.0652,168.71165644171776,False,sleep
159.2312,159.2412,159.2608,159.2412,8.370765686035156,0.0296,135.13513513513513,False,sleep
160.3156,160.3256,160.3584,160.324,5.360362529754639,0.0428,140.18691588785046,False,sleep
160.7052,160.7136,160.7368,160.7148,4.160359859466553,0.0316,126.58227848101265,True,awake
162.2504,162.2876,162.2912,162.2872,3.049283504486084,0.0408,171.5686274509804,True,awake
164.1584,164.1784,164.2012,164.1772,5.3470306396484375,0.0428,116.82242990654204,False,sleep
164.5592,164.5668,164.6116,164.5912,4.901691436767578,0.0524,152.67175572519082,False,sleep
165.0132,165.032,165.0396,165.0172,4.186485767364502,0.0264,113.63636363636365,False,sleep
165.812,165.8384,165.8428,165.8304,3.161924362182617,0.0308,129.87012987012986,False,sleep
165.948,165.968,165.9836,165.9804,4.360805034637451,0.0356,168.53932584269666,False,sleep
172.3872,172.4104,172.4148,172.412,3.004448413848877,0.0276,181.15942028985503,False,sleep
988.0304,988.058,988.0688,988.0584,9.2896146774292,0.0384,130.20833333333331,False,sleep
988.648,988.6632,988.6708,988.6632,3.086575508117676,0.0228,131.57894736842104,False,sleep
989.0416,989.0916,989.1048,989.094,8.361017227172852,0.0632,142.40506329113924,False,sleep
997.1808,997.1972,997.2076,997.196,12.255574226379395,0.0268,149.2537313432836,True,awake
1001.9752,1001.9988,1002.0088,1002.0004,6.833855628967285,0.0336,148.8095238095238,False,sleep
1002.3084,1002.3216,1002.3316,1002.3216,5.6235880851745605,0.0232,129.3103448275862,False,sleep
1008.214,1008.2228,1008.2624,1008.224,6.5887651443481445,0.0484,185.9504132231405,False,sleep
1008.5148,1008.5292,1008.5368,1008.5316,4.635958194732666,0.022,181.8181818181818,False,sleep
